postcode,latitude,longitude,name,state_id
94515,38.615055,-122.507742,Calistoga,CA
94516,37.777208,-121.955399,Canyon,CA
94517,37.897832,-121.784818,Clayton,CA
94518,37.953672,-122.022872,Concord,CA
94519,37.984821,-122.011272,Concord,CA
94520,37.988871,-122.013355,Concord,CA
94521,37.951661,-121.960045,Concord,CA
94522,37.777208,-121.955399,Concord,CA
94523,37.957572,-122.077774,Pleasant Hill,CA
94524,37.777208,-121.955399,Concord,CA
94525,37.958011,-122.152602,Crockett,CA
94526,37.914851,-122.053573,Danville,CA
94527,37.953542,-121.957778,Concord,CA
94528,37.838744,-121.966720,Diablo,CA
94529,37.777208,-121.955399,Concord,CA
94530,37.918024,-122.302480,El Cerrito,CA
94531,37.920852,-121.723919,Antioch,CA
94533,38.278428,-122.020276,Fairfield,CA
94535,38.271218,-121.941230,Travis Afb,CA
94536,37.565285,-121.982721,Fremont,CA
94537,37.680181,-121.921498,Fremont,CA
94538,37.509453,-121.958320,Fremont,CA
94539,37.520339,-121.912568,Fremont,CA
94540,37.680181,-121.921498,Hayward,CA
94541,37.67513,-121.974120,Hayward,CA
94542,37.662552,-122.051179,Hayward,CA
94543,37.680181,-121.921498,Hayward,CA
94544,37.613883,-122.061673,Hayward,CA
94545,37.635482,-122.092324,Hayward,CA
94546,37.731229,-122.066373,Castro Valley,CA
94547,38.008343,-122.262101,Hercules,CA
94548,37.972622,-121.665205,Knightsen,CA
94549,37.901223,-122.120089,Lafayette,CA
94550,37.676781,-121.916050,Livermore,CA
94551,37.680181,-121.921498,Livermore,CA
94552,37.68943,-121.925100,Castro Valley,CA
94553,37.986421,-122.134976,Martinez,CA
94555,37.570681,-122.063323,Fremont,CA
94556,37.838926,-122.099224,Moraga,CA
94557,37.680181,-121.921498,Hayward,CA
94558,38.516158,-122.311921,Napa,CA
94559,38.256973,-122.311685,Napa,CA
94560,37.534102,-122.025352,Newark,CA
94561,37.996516,-121.689720,Oakley,CA
94562,38.437887,-122.399101,Oakville,CA
94563,37.893124,-122.144826,Orinda,CA
94564,37.990772,-122.243294,Pinole,CA
94565,38.00307,-121.917219,Pittsburg,CA
94566,37.646081,-121.862128,Pleasanton,CA
94567,38.649304,-122.445290,Pope Valley,CA
94568,37.714402,-121.906329,Dublin,CA
94569,38.04697,-122.193028,Port Costa,CA
94570,37.777208,-121.955399,Moraga,CA
94571,38.209069,-121.777874,Rio Vista,CA
94572,38.030821,-122.245129,Rodeo,CA
94573,38.466508,-122.414189,Rutherford,CA
94574,38.537757,-122.401289,Saint Helena,CA
94575,37.777208,-121.955399,Moraga,CA
94576,38.450909,-122.444889,Deer Park,CA
94577,37.715629,-122.158621,San Leandro,CA
94578,37.704429,-122.124225,San Leandro,CA
94579,37.688518,-122.147425,San Leandro,CA
94580,37.68123,-122.133825,San Lorenzo,CA
94581,38.509569,-122.353900,Napa,CA
94583,37.768556,-121.975531,San Ramon,CA
94585,38.195385,-121.994935,Suisun City,CA
94586,37.585883,-121.883018,Sunol,CA
94587,37.589084,-121.973620,Union City,CA
94588,37.688244,-121.898741,Pleasanton,CA
94589,38.158221,-122.280383,Vallejo,CA
94590,38.096719,-122.253280,Vallejo,CA
94591,38.114249,-122.206292,Vallejo,CA
94592,38.096788,-122.269860,Vallejo,CA
94595,37.873343,-122.070625,Walnut Creek,CA
94596,37.952389,-121.864451,Walnut Creek,CA
94597,37.777208,-121.955399,Walnut Creek,CA
94598,37.906873,-122.037045,Walnut Creek,CA
94599,38.41611,-122.361587,Yountville,CA
94601,37.786027,-122.223779,Oakland,CA
94602,37.802777,-122.204578,Oakland,CA
94603,37.761778,-122.198428,Oakland,CA
94604,37.680181,-121.921498,Oakland,CA
94605,37.759322,-122.156626,Oakland,CA
94606,37.789927,-122.243979,Oakland,CA
94607,37.807967,-122.298780,Oakland,CA
94608,37.833876,-122.295480,Emeryville,CA
94609,37.834776,-122.263280,Oakland,CA
94610,37.811277,-122.238779,Oakland,CA
94611,37.847076,-122.222278,Oakland,CA
94612,37.809435,-122.270180,Oakland,CA
94613,37.781098,-122.186573,Oakland,CA
94614,37.727739,-122.204573,Oakland,CA
94615,37.806677,-122.300380,Oakland,CA
94617,37.807827,-122.271652,Oakland,CA
94618,37.843126,-122.240179,Oakland,CA
94619,37.783877,-122.167126,Oakland,CA
94620,37.680181,-121.921498,Piedmont,CA
94621,37.742529,-122.196689,Oakland,CA
94622,,,Oakland,CA
94623,37.680181,-121.921498,Oakland,CA
94624,37.680181,-121.921498,Oakland,CA
94625,37.803927,-122.319655,Oakland,CA
94626,37.819314,-122.303136,Oakland,CA
94627,37.680181,-121.921498,Oakland,CA
94643,37.680181,-121.921498,Oakland,CA
94649,37.680181,-121.921498,Oakland,CA
94659,37.680181,-121.921498,Oakland,CA
94660,37.680181,-121.921498,Oakland,CA
94661,37.680181,-121.921498,Oakland,CA
94662,37.680181,-121.921498,Emeryville,CA
94666,37.680181,-121.921498,Oakland,CA
94701,37.860576,-122.296730,Berkeley,CA
94702,37.864425,-122.287130,Berkeley,CA
94703,37.865725,-122.275730,Berkeley,CA
94704,37.866975,-122.256729,Berkeley,CA
94705,37.85983,-122.242029,Berkeley,CA
94706,37.889525,-122.298280,Albany,CA
94707,37.892675,-122.276080,Berkeley,CA
94708,37.891825,-122.260429,Berkeley,CA
94709,37.879825,-122.265530,Berkeley,CA
94710,37.873366,-122.302730,Berkeley,CA
94712,37.680181,-121.921498,Berkeley,CA
94720,37.866825,-122.253582,Berkeley,CA
94801,37.947523,-122.384032,Richmond,CA
94802,37.777208,-121.955399,Richmond,CA
94803,37.966422,-122.206177,El Sobrante,CA
94804,37.925174,-122.344381,Richmond,CA
94805,37.929123,-122.300930,Richmond,CA
94806,37.959573,-122.334131,San Pablo,CA
94807,37.777208,-121.955399,Richmond,CA
94808,37.777208,-121.955399,Richmond,CA
94820,37.777208,-121.955399,El Sobrante,CA
94850,37.777208,-121.955399,Richmond,CA
94901,37.970948,-122.504286,San Rafael,CA
94903,38.033922,-122.585490,San Rafael,CA
94904,37.947874,-122.536337,Greenbrae,CA
94912,38.068036,-122.740988,San Rafael,CA
94913,38.068036,-122.740988,San Rafael,CA
94914,38.068036,-122.740988,Kentfield,CA
94915,38.07392,-122.559440,San Rafael,CA
94920,37.935324,-122.564439,Belvedere Tiburon,CA
94922,38.351416,-122.974134,Bodega,CA
94923,38.367894,-123.048629,Bodega Bay,CA
94924,38.001976,-122.779150,Bolinas,CA
94925,37.925039,-122.512035,Corte Madera,CA
94926,38.463088,-122.989975,Cotati,CA
94927,38.463088,-122.989975,Rohnert Park,CA
94928,38.345663,-122.698398,Rohnert Park,CA
94929,38.246928,-122.956202,Dillon Beach,CA
94930,37.981723,-122.607791,Fairfax,CA
94931,38.323614,-122.710565,Cotati,CA
94933,38.015803,-122.690302,Forest Knolls,CA
94937,38.112571,-122.887717,Inverness,CA
94938,38.022974,-122.699183,Lagunitas,CA
94939,37.936624,-122.534237,Larkspur,CA
94940,38.17087,-122.823185,Marshall,CA
94941,37.886325,-122.562937,Mill Valley,CA
94942,38.068036,-122.740988,Mill Valley,CA
